epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,259.526,0.6573,1.58822,0.87963,0.00824,0.66667,0.33269,0.14455,1.21087,5.30922,1.54359,0.000419312,0.000419312,0.000419312
38,266.442,0.5297,1.88716,0.90592,0.46907,0.66667,0.33269,0.16663,1.32586,5.30182,1.64833,0.0004011,0.0004011,0.0004011
39,273.179,0.49271,1.90347,0.88484,0.46304,0.59275,0.5006,0.30071,1.46931,5.29257,1.79238,0.000381304,0.000381304,0.000381304
40,279.836,0.58144,1.51489,0.85259,0.46304,0.59275,0.5006,0.30071,1.46931,5.29257,1.79238,0.000359924,0.000359924,0.000359924
41,286.586,0.55877,1.83715,0.90193,0.48402,0.63471,0.5007,0.33389,1.43272,4.9593,1.66971,0.00033696,0.00033696,0.00033696
42,293.258,0.52223,1.8326,0.74309,0.48836,0.64339,0.50074,0.33369,1.27396,4.6659,1.52656,0.000312412,0.000312412,0.000312412
43,300.127,0.50964,1.87068,0.8814,0.48836,0.64339,0.50074,0.33369,1.27396,4.6659,1.52656,0.00028628,0.00028628,0.00028628
44,307.361,0.5154,1.76689,0.86664,0.48547,0.6376,0.50075,0.38376,1.2088,4.55543,1.46982,0.000258564,0.000258564,0.000258564
45,314.888,0.4158,1.74841,0.82696,0.48547,0.6376,0.50075,0.38376,1.2088,4.55543,1.46982,0.000229264,0.000229264,0.000229264
46,322.632,0.49857,1.69378,0.86913,0.48317,0.633,0.50075,0.38376,1.18684,4.54565,1.47231,0.00019838,0.00019838,0.00019838
47,330.023,0.4507,1.69545,0.82271,0.48317,0.633,0.50075,0.38376,1.18684,4.54565,1.47231,0.000165912,0.000165912,0.000165912
48,343.187,0.49762,1.97215,0.79297,0.48451,0.63568,0.50074,0.3503,1.16403,4.52488,1.47353,0.00013186,0.00013186,0.00013186
49,351.584,0.4588,1.72904,0.87751,0.48451,0.63568,0.50074,0.3503,1.16403,4.52488,1.47353,9.6224e-05,9.6224e-05,9.6224e-05
50,358.291,0.4757,1.72903,0.84284,0.48778,0.64223,0.50074,0.35869,1.19264,4.39676,1.43454,5.9004e-05,5.9004e-05,5.9004e-05
1,8.0888,3.05,4.16912,2.31206,0.00389,0.22581,0.00262,0.00042,3.20558,4.411,2.69471,2e-05,2e-05,2e-05
2,15.1502,2.89152,4.0683,2.20482,0.00333,0.19355,0.00229,0.00053,2.85258,4.29571,2.41678,5.9406e-05,5.9406e-05,5.9406e-05
3,22.2175,2.09034,3.81221,1.824,0.00611,0.35484,0.00544,0.00119,2.2317,4.14905,1.90636,9.802e-05,9.802e-05,9.802e-05
4,29.3224,1.70071,3.61419,1.46267,0.00778,0.45161,0.00807,0.00282,1.69133,3.89451,1.44763,0.000135842,0.000135842,0.000135842
5,36.4326,1.4556,3.19533,1.22215,0.00889,0.51613,0.01073,0.0045,1.5027,3.73207,1.24844,0.000172872,0.000172872,0.000172872
6,43.2468,1.53589,2.76859,1.23467,0.01056,0.6129,0.01454,0.00732,1.41386,3.54648,1.20154,0.00020911,0.00020911,0.00020911
7,50.0732,1.42266,2.05787,1.18042,0.01278,0.74194,0.01953,0.00938,1.25993,3.41649,1.15232,0.000244556,0.000244556,0.000244556
8,57.0532,1.38636,1.50847,1.10749,0.01222,0.70968,0.10307,0.07834,1.20576,3.19605,1.11145,0.00027921,0.00027921,0.00027921
9,64.1623,1.33818,1.55706,1.0724,0.01222,0.70968,0.18149,0.13847,1.21958,3.10274,1.11511,0.000313072,0.000313072,0.000313072
10,71.5636,1.33564,1.52879,1.0621,0.01278,0.74194,0.30584,0.20164,1.2504,3.0785,1.15732,0.000346142,0.000346142,0.000346142
11,78.2888,1.32454,1.75009,1.05842,0.01278,0.74194,0.27372,0.18118,1.30034,3.08561,1.17656,0.00037842,0.00037842,0.00037842
12,85.3928,1.30829,1.45275,1.00286,0.01333,0.77419,0.14299,0.07753,1.27628,3.09507,1.16524,0.000409906,0.000409906,0.000409906
13,94.0272,1.22718,1.38133,1.01277,0.01333,0.77419,0.21165,0.11067,1.27616,3.07908,1.17849,0.0004406,0.0004406,0.0004406
14,102.968,1.35157,1.37425,1.05805,0.01333,0.77419,0.23058,0.13191,1.25591,3.05101,1.16137,0.000470502,0.000470502,0.000470502
15,113.679,1.29507,1.41094,1.09393,0.01333,0.77419,0.22335,0.1291,1.20801,3.02787,1.13544,0.000499612,0.000499612,0.000499612
16,123.7,1.27285,1.30725,1.05111,0.01389,0.80645,0.20684,0.10942,1.1923,3.01768,1.12236,0.00052793,0.00052793,0.00052793
17,133.304,1.20212,1.21431,1.01344,0.01389,0.80645,0.25897,0.14229,1.22928,2.97567,1.13038,0.000555456,0.000555456,0.000555456
18,142.327,1.21095,1.2165,1.13226,0.01389,0.80645,0.32943,0.20501,1.22346,2.90015,1.12558,0.00058219,0.00058219,0.00058219
19,151.316,1.06125,1.11842,1.00373,0.01389,0.80645,0.55518,0.30547,1.24889,2.83717,1.11921,0.000608132,0.000608132,0.000608132
20,159.44,1.18932,1.13299,1.03984,0.01389,0.80645,0.61394,0.3364,1.21759,2.80647,1.10527,0.000633282,0.000633282,0.000633282
21,167.787,1.12166,1.06745,1.02994,0.02183,0.67742,0.54692,0.2925,1.24668,2.80786,1.11839,0.00065764,0.00065764,0.00065764
22,176.272,1.15072,1.01599,0.98838,1,0.24573,0.58715,0.29677,1.25323,2.83269,1.10534,0.000681206,0.000681206,0.000681206
23,185.41,1.17597,1.02556,1.02382,1,0.10572,0.55572,0.33028,1.18634,2.82229,1.08004,0.00070398,0.00070398,0.00070398
24,193.594,1.18241,1.10835,0.98226,1,0.09201,0.55185,0.31426,1.26172,2.81307,1.09772,0.000725962,0.000725962,0.000725962
25,201.549,1.11425,1.01376,0.96944,1,0.09243,0.50792,0.29024,1.27094,2.83843,1.09523,0.000747152,0.000747152,0.000747152
26,210.876,1.15197,1.10056,0.9871,1,0.09154,0.49306,0.28607,1.19648,2.90309,1.09159,0.00076755,0.00076755,0.00076755
27,219.986,1.06542,1.06612,0.95535,0.93414,0.45783,0.56367,0.33523,1.24051,2.82506,1.10004,0.000787156,0.000787156,0.000787156
28,228.557,1.17047,1.03067,1.02962,0.93414,0.45783,0.56367,0.33523,1.24051,2.82506,1.10004,0.00080597,0.00080597,0.00080597
29,237.445,1.02069,0.94057,0.96201,1,0.19536,0.62586,0.36482,1.23705,2.63228,1.08919,0.000823992,0.000823992,0.000823992
